id;codigo;precoCusto;precoCustoReal;editado
16514521257;10m-D245-163;109,32;101,67;OK
16514521256;10m-D245-02;109,32;101,67;OK
16514521255;10m-D245-353;109,32;101,67;OK
16514521254;10m-D245-124;109,32;101,67;OK
16514521251;10m-D245-166;109,32;101,67;OK
16514521250;10m-D245-365;109,32;101,67;OK
16514521247;10m-D245-119;109,32;101,67;OK
16514521245;10m-D245-313;109,32;101,67;OK
16514521242;10m-D245-114;109,32;101,67;OK
16514521241;10m-D245-A39;109,32;101,67;OK
16514521035;7m-D245-103;76,52;71,17;OK
16514521032;7m-D245-238;76,52;71,17;OK
16514521029;7m-D245-167;76,52;71,17;OK
16514521028;7m-D245-174;76,52;71,17;OK
16514521026;7m-D245-47;76,52;71,17;OK
16514521025;7m-D245-66;76,52;71,17;OK
16514521022;7m-D245-146;76,52;71,17;OK
16514521021;7m-D245-87;76,52;71,17;OK
16514521019;7m-D245-161;76,52;71,17;OK
16514521017;7m-D245-222;76,52;71,17;OK
16514521014;7m-D245-01;76,52;71,17;OK
16514521012;7m-D245-51;76,52;71,17;OK
16514521010;7m-D245-79;76,52;71,17;OK
16514521007;7m-D245-312;76,52;71,17;OK
16514521004;7m-D245-118;76,52;71,17;OK
16514521003;7m-D245-143;76,52;71,17;OK
16514521002;7m-D245-92;76,52;71,17;OK
16514521001;7m-D245-50;76,52;71,17;OK
16514520999;7m-D245-135;76,52;71,17;OK
16514520998;7m-D245-128;76,52;71,17;OK
16514520996;7m-D245-163;76,52;71,17;OK
16514520994;7m-D245-02;76,52;71,17;OK
16514520993;7m-D245-353;76,52;71,17;OK
16514520992;7m-D245-124;76,52;71,17;OK
16514520990;7m-D245-166;76,52;71,17;OK
16514520989;7m-D245-365;76,52;71,17;OK
16514520988;7m-D245-119;76,52;71,17;OK
16514520987;7m-D245-313;76,52;71,17;OK
16514520986;7m-D245-114;76,52;71,17;OK
16514520983;7m-D245-A39;76,52;71,17;OK
16514520818;6m-D245-103;65,59;61;OK
16514520816;6m-D245-238;65,59;61;OK
16514520815;6m-D245-167;65,59;61;OK
16514520814;6m-D245-174;65,59;61;OK
16514520812;6m-D245-47;65,59;61;OK
16514520811;6m-D245-66;65,59;61;OK
16514520809;6m-D245-146;65,59;61;OK
16514520807;6m-D245-87;65,59;61;OK
16514520806;6m-D245-161;65,59;61;OK
16514520805;6m-D245-222;65,59;61;OK
16514520801;6m-D245-01;65,59;61;OK
16514520799;6m-D245-51;65,59;61;OK
16514520798;6m-D245-79;65,59;61;OK
16514520797;6m-D245-312;65,59;61;OK
16514520796;6m-D245-118;65,59;61;OK
16514520795;6m-D245-143;65,59;61;OK
16514520794;6m-D245-92;65,59;61;OK
16514520792;6m-D245-50;65,59;61;OK
16514520790;6m-D245-135;65,59;61;OK
16514520789;6m-D245-128;65,59;61;OK
16514520785;6m-D245-163;65,59;61;OK
16514520784;6m-D245-02;65,59;61;OK
16514520782;6m-D245-353;65,59;61;OK
16514520780;6m-D245-124;65,59;61;OK
16514520779;6m-D245-166;65,59;61;OK
16514520778;6m-D245-365;65,59;61;OK
16514520777;6m-D245-119;65,59;61;OK
16514520775;6m-D245-313;65,59;61;OK
16514520773;6m-D245-114;65,59;61;OK
16514520772;6m-D245-A39;65,59;61;OK
16514520573;5m-D245-103;54,66;50,83;OK
16514520572;5m-D245-238;54,66;50,83;OK
16514520571;5m-D245-167;54,66;50,83;OK
16514520570;5m-D245-174;54,66;50,83;OK
16514520569;5m-D245-47;54,66;50,83;OK
16514520568;5m-D245-66;54,66;50,83;OK
16514520565;5m-D245-146;54,66;50,83;OK
16514520564;5m-D245-87;54,66;50,83;OK
16514520563;5m-D245-161;54,66;50,83;OK
16514520559;5m-D245-222;54,66;50,83;OK
16514520558;5m-D245-01;54,66;50,83;OK
16514520556;5m-D245-51;54,66;50,83;OK
16514520553;5m-D245-79;54,66;50,83;OK
16514520551;5m-D245-312;54,66;50,83;OK
16514520550;5m-D245-118;54,66;50,83;OK
16514520548;5m-D245-143;54,66;50,83;OK
16514520545;5m-D245-92;54,66;50,83;OK
16514520542;5m-D245-50;54,66;50,83;OK
16514520539;5m-D245-135;54,66;50,83;OK
16514520534;5m-D245-128;54,66;50,83;OK
16514520532;5m-D245-163;54,66;50,83;OK
16514520528;5m-D245-02;54,66;50,83;OK
16514520526;5m-D245-353;54,66;50,83;OK
16514520522;5m-D245-124;54,66;50,83;OK
16514520519;5m-D245-166;54,66;50,83;OK
16514520516;5m-D245-365;54,66;50,83;OK
16514520514;5m-D245-119;54,66;50,83;OK
16514520513;5m-D245-313;54,66;50,83;OK
16514520512;5m-D245-114;54,66;50,83;OK
16514520511;5m-D245-A39;54,66;50,83;OK
16514520287;4m-D245-103;43,73;40,67;OK
16514520286;4m-D245-238;43,73;40,67;OK
16514520283;4m-D245-167;43,73;40,67;OK
16514520281;4m-D245-174;43,73;40,67;OK
16514520278;4m-D245-47;43,73;40,67;OK
16514520276;4m-D245-66;43,73;40,67;OK
16514520274;4m-D245-146;43,73;40,67;OK
16514520272;4m-D245-87;43,73;40,67;OK
16514520270;4m-D245-161;43,73;40,67;OK
16514520267;4m-D245-222;43,73;40,67;OK
